student_id,first_name,middle_name,last_name,course,year_level,section,email
2026-002001,Francisco,Gomez,Stevens,BSBA,"2nd Year",C2,francisco.stevens2001@zdspgc.edu.ph
2026-002002,Paola,Stevens,Rivera,BSIT,"4th Year",A,paola.rivera2002@zdspgc.edu.ph
2026-002003,Javier,Payne,Reynolds,BSIT,"4th Year",C,javier.reynolds2003@zdspgc.edu.ph
2026-002004,Silvia,Hernandez,Hunter,BSBA,"3rd Year",B,silvia.hunter2004@zdspgc.edu.ph
2026-002005,Sebastian,Elliott,"Dela Cruz",BSHM,"1st Year",C2,sebastian.delacruz2005@zdspgc.edu.ph
2026-002006,Paula,Howard,Bryant,BSBA,"2nd Year",C1,paula.bryant2006@zdspgc.edu.ph
2026-002007,Lucas,Martinez,Hudson,BSHM,"1st Year",C2,lucas.hudson2007@zdspgc.edu.ph
2026-002008,Clara,Holmes,Berry,BEED,"2nd Year",C1,clara.berry2008@zdspgc.edu.ph
2026-002009,Marco,Duncan,Knight,BSA,"4th Year",C,marco.knight2009@zdspgc.edu.ph
2026-002010,Paula,Ford,Cunningham,BSIT,"1st Year",B,paula.cunningham2010@zdspgc.edu.ph
2026-002011,Beatriz,Riley,Stevens,BEED,"1st Year",B,beatriz.stevens2011@zdspgc.edu.ph
2026-002012,Julia,Hicks,Castillo,BSHM,"2nd Year",B,julia.castillo2012@zdspgc.edu.ph
2026-002013,Silvia,Matthews,Russell,BSED,"3rd Year",C1,silvia.russell2013@zdspgc.edu.ph
2026-002014,Federico,Morgan,Harper,BSBA,"1st Year",B,federico.harper2014@zdspgc.edu.ph
2026-002015,Carmen,Arnold,Kennedy,BSA,"3rd Year",B,carmen.kennedy2015@zdspgc.edu.ph
2026-002016,Maria,Riley,Boyd,BSIT,"1st Year",C2,maria.boyd2016@zdspgc.edu.ph
2026-002017,Santiago,Perez,Palmer,BSHM,"3rd Year",B,santiago.palmer2017@zdspgc.edu.ph
2026-002018,Lucia,Richardson,Reyes,BSCrim,"2nd Year",C2,lucia.reyes2018@zdspgc.edu.ph
2026-002019,Daniela,Campbell,Martin,BSBA,"1st Year",C1,daniela.martin2019@zdspgc.edu.ph
2026-002020,Diana,Schmidt,Ford,BSBA,"1st Year",C,diana.ford2020@zdspgc.edu.ph
2026-002021,Santiago,Wallace,Wagner,BSCrim,"3rd Year",A,santiago.wagner2021@zdspgc.edu.ph
2026-002022,Gustavo,Lewis,Elliott,BSED,"2nd Year",C,gustavo.elliott2022@zdspgc.edu.ph
2026-002023,Manuel,Cole,Harrison,BSCrim,"4th Year",A,manuel.harrison2023@zdspgc.edu.ph
2026-002024,Monica,Campbell,Fox,BSIT,"4th Year",A,monica.fox2024@zdspgc.edu.ph
2026-002025,Isabella,Martin,Arnold,BSHM,"1st Year",C,isabella.arnold2025@zdspgc.edu.ph
2026-002026,Nicolas,Nichols,Warren,BSCrim,"4th Year",B,nicolas.warren2026@zdspgc.edu.ph
2026-002027,Carlos,Perez,Jenkins,BEED,"4th Year",C1,carlos.jenkins2027@zdspgc.edu.ph
2026-002028,Jose,Rogers,Turner,BSBA,"2nd Year",A,jose.turner2028@zdspgc.edu.ph
2026-002029,Clara,James,Ross,BSBA,"2nd Year",C,clara.ross2029@zdspgc.edu.ph
2026-002030,Federico,Cox,Andrews,BSBA,"1st Year",C,federico.andrews2030@zdspgc.edu.ph
